ID,観光地名,ふりがな,地域ブロック,市町村,住所１（地番まで),住所２（マンション名等）,緯度,経度,説明,電話番号,ファックス,公共交通,車,駐車場,営業時間,定休日,料金,ユニバーサル対応トイレ,ユニバーサル対応駐車場,ユニバーサル対応その他,備考,ホームページURL,テーマ,カテゴリ,サブカテゴリ,分類キーワード
417,浦山カタクリの里,ウラヤマカタクリノサト,秩父地域,皆野町,金沢地内,,36.10646789,139.026103,花好きな地元の方々によって丹精に育てられたカタクリが、可憐な花を咲かせます。四季それぞれ楽しめるようアジサイやつつじ、ノウゼンカズラ、スイセンも植えられています。カタクリの時期は３月下旬～４月上旬で、見頃は４月上旬です。,0494-62-1462（皆野町役場）,0494-62-2791（皆野町役場）,秩父鉄道「親鼻駅」下車　町営バス金沢線「更木」より徒歩約４０分,関越自動車道「花園」ＩＣより国道１４０号線を秩父方面へ約７０分,,常時開放,なし,無料,,,,"※花の見頃
カタクリ/３月下旬～４月上旬
アジサイ/６月下旬～７月中旬
ノウゼンカズラ/７月中旬～８月上旬
",http://www.town.minano.saitama.jp/topics/2010/flower/katakuri/index.htm,観・楽,花,山野草,花
418,ながとろ カタクリの里,ナガトロ カタクリノサト,秩父地域,長瀞町,大字岩田７３５－１,,36.12912297,139.126718,かつて片栗粉の原料として使われていたカタクリは日本各地に自生していますが、近年は著しく減少しています。そんなカタクリが数多く咲き誇る自生地域です。見頃は３月下旬から４月上旬です。他にも、イカリソウやチゴユリ、ジュウニヒトエ、クマイチゴ、ムラサキケマンなど様々な花が自生しています。,0494-66-3706（長瀞かたくりの郷事務局）,0494-66-3381（長瀞かたくりの郷事務局）,"秩父鉄道「樋口駅」下車　徒歩約１０分
秩父鉄道長瀞駅裏駐車場から無料シャトルバス運行",関越自動車道「花園」ＩＣより国道１４０号経由で約２５分,あり,９：００～１６：３０,なし,３８０円,なし,あり,,"※花の見頃
カタクリ/３月下旬～４月上旬",http://park18.wakwak.com/~inoue.co.ltd/,観・楽,花,山野草,花
419,あしがくぼ山の花道,アシガクボヤマノハナミチ,秩父地域,横瀬町,,,35.98816374,139.1372967,あしがくぼ果樹公園村の木の子茶屋から約５分ほど歩いた林の中にあります。カタクリは春（４月上旬～中旬）に咲く、うつむいた姿が美しい可憐な花です。秩父路に最も似合う花のひとつで、広さ１０，０００㎡の山の斜面に咲き乱れ、一面紅紫色に染まります。カタクリの時期には「カタクリ祭り」を開催しています。また、６月にはラベンダーも咲き乱れます。,0494-25-0114（横瀬町役場）,,西武秩父線「芦ヶ久保駅」下車　徒歩約５０分,関越自動車道「花園」ＩＣより約６０分,,常時開放,なし,無料,,,,"※花の見頃
カタクリ/３月下旬～４月上旬
ラベンダー/６月中旬～下旬",http://www.yokoze.gr.jp/flower/2004/lavender/index.htm,観・楽,花,山野草,花
421,荒川地区ザゼンソウ自生地,アラカワチクザゼンソウジセイチ,秩父地域,秩父市,荒川日野1908 　山翠荘,,35.9403633,139.0129205,"武甲山の山麓にある山翠荘裏手の寺沢川沿いの湿地に約３００株のザゼンソウが自生しています。ザゼンソウはサトイモ科の植物で、花の様子を座禅僧に見立てているところから命名されたと言われています。花は葉に先立って開き、茎は高さ１０～２０センチで、葉は成長して長さ幅とも４０センチほどになります。
",0494-54-1123（山翠荘）,,秩父鉄道「武州日野」駅下車　徒歩約３０分,関越自動車道「花園」ＩＣより約９０分,,,,"＜見学料＞
大人３００円/子ども（小学生以下）無料",,,,"※花の見頃
ザゼンソウ（３００株）/２月下旬～３月中旬",http://navi.city.chichibu.lg.jp/flower/zazenso/index.html,観・楽,花,山野草,花
424,永源寺,エイゲンジ,西部地域,所沢市,久米1342,,35.7840513,139.4596142,曹洞宗の寺で、室町幕府の関東管領上杉氏の家臣大石氏にゆかりがあります。創建者・大石信重の墓は所沢市の指定文化財になっています。また、近年では雪割草の名所として知られており、早春になると境内に花を咲かせています。花は色も形も同じものはありません。,04-2922-3431,,西武池袋線「西所沢駅」下車　徒歩約１５分,関越自動車道「所沢」ＩＣより約２０分,なし,日中,なし,,なし,なし,なし,"※花の見頃
雪割草/２月下旬～３月下旬",http://www.tokoro-kankou.jp/blog/024.html,観・楽,神社・仏閣,寺院,花 社寺
426,石間の福寿草自生地,イサマノフクジュソウジセイチ,秩父地域,秩父市,吉田石間,,36.074055,138.984704,吉田町の石間・沢口地区の福寿草の辺りは福寿草の里と呼ばれていて、約１，０００㎡の敷地内に多くの福寿草が自生しています。沢口の福寿草は花弁が大きい在来種と言われており、開花時期は２月下旬～３月中旬です。地元沢口地区では、満開となる３月中旬に「福寿草祭」が開催されます。,0494-72-6083（秩父市役所吉田総合支所）,,西武秩父線「西武秩父駅」または秩父鉄道「秩父駅」下車　西武観光バス吉田元気村行き乗車、「万年橋」バス停より徒歩約３０分,関越自動車道「花園」ＩＣより約３５分,,常時,なし,-,,,,"※花の見頃
福寿草/２月中旬～３月上旬",http://www.chichibu.co.jp/hana/2004/yoshida_fukujyuso/index.htm,観・楽,花,山野草,花
428,砂川遺跡周辺　福寿草自生地,スナガワイセキシュウヘン　フクジュソウジセイチ,西部地域,所沢市,三ヶ島,,35.801693,139.413643,福寿草は、おめでたい正月の花として、新春を祝う意味があるそうです。花言葉は「長寿、慶賀、幸せを招く」です。 ２月下旬～３月下旬が見頃で、この時期になると砂川遺跡周辺では一斉に小さな黄色い花の福寿草が咲き乱れます。,04-2998-9155（所沢市役所商工労政課）,,西武池袋線「小手指駅」南口下車　「早稲田大学」行きバス「大日堂」より徒歩約５分,関越自動車道「所沢」ＩＣより約２０分,,常時開放,なし,無料,,,,"※花の見頃
福寿草/２月下旬～３月下旬",http://www.city.tokorozawa.saitama.jp/tokoronews/saijiki/h19/20080219/index.html,観・楽,花,山野草,花
432,コスモスフェスティバル,コスモスフェスティバル,東部地域,羽生市,大字三田ヶ谷地内,,36.1726261,139.5484646,羽生市大字三田ヶ谷地区の転作田(約４ヘクタール）がコスモス畑になります。様々な種類のコスモスが美しく咲き乱れ、花の見頃は１０月いっぱいの予定です。イベント開催日も設けられるほか、コスモス写真コンテストも開催されます。,048-561-1121（羽生市役所/農政課）,,東武伊勢崎線「羽生駅」下車　タクシー約１５分,東北自動車道「羽生」ＩＣより約３分,,例年１０月中旬頃,-,-,,,,"※花の見頃
コスモス/１０月中旬～下旬",http://www.city.hanyu.lg.jp/kurashi/madoguchi/nousei/02_culture/02_kankou/cosmos/cosmos.html,観・楽,花,コスモス,花
433,コスモスフェスタ,コスモスフェスタ,東部地域,越谷市,大吉,,35.918652,139.803421,越谷市大吉地区には約６ヘクタールにも及ぶコスモス畑があり、秋口になるとピンクや白のコスモスが一斉に花を咲かせます。生育のいい年には、人間の背くらいの高さまで成長します。１０月にはコスモスフェスタが行われ、フェスタのあとにはコスモスの摘み取りが自由に出来ます。,048-964-2111（越谷市役所）,,東武伊勢崎線「北越谷駅」下車　バスにて「弥栄町２丁目」より徒歩,※駐車場が完備されていないので、,,例年１０月下旬,-,無料,,,,"※花の見頃
コスモス/１０月中旬～１１月上旬",http://www2.city.koshigaya.saitama.jp/miru/shiki/aki/kosumosu/index.html,観・楽,花,コスモス,花
435,新河岸川河畔,シンガシガワカハン,西部地域,志木市,中宗岡市役所横,,35.74533,139.60281,新河岸川沿いのサイクリングコースでは、秋になるとキバナコスモスを始めとするコスモスが咲き乱れます。また、見頃の時期の１０月初旬の日曜日には「コスモスまつり」が開催され、多くの観光客で賑わいます。また、春には桜も咲き、桜の名所としても知られています。,048-473-1111（志木市役所）,,東武東上線「志木駅」下車　約４０分,関越自動車道「所沢」ＩＣより約３０分,,常時開放,なし,無料,,,,"※花の見頃
桜/３月下旬～４月上旬
コスモス/１０月中旬～１１月上旬",,観・楽,花,色々な花・その他,花
436,コスモスまつり,こすもすまつり,北部地域,美里町,下児玉地内,,36.20207918,139.1654062,"美里町下児玉地区で行われ、約５ヘクタールの広大な敷地に色とりどりのコスモスが咲き、メインフェスティバルの日には各種イベントが開催されています。コスモスの花の摘み取りも可能で、１０，０００㎡の巨大ひまわり畑もあります。

",0495-76-5133（美里町役場/農林商工課）,0495-75-2125（美里町役場/農林商工課）,ＪＲ八高線「松久駅」または東武東上線/秩父鉄道「寄居駅」下車　武蔵観光路線バス(本庄駅ゆき)に乗車し、「四ツ井」停留所より徒歩約３０分,関越自動車道「本庄児玉」ＩＣより約５分,,例年１０月中旬頃,-,"１人２００円
※中学生以下は無料",,,,"※花の見頃
コスモス/１０月中旬～１１月上旬",http://www.misato-kanko.com/flower/cosmos.html,観・楽,花,コスモス,花
438,コスモスふれあいロード,こすもすふれあいろーど,東部地域,久喜市,葛西用水路沿い,,,,埼玉県内でも有数のコスモス自生地の一つで、葛西用水路沿いの両岸、加須市川口の川口樋前橋から久喜市境の玉屋橋までと、その周辺の畑を含めた往復約１２キロメートルのポピーとコスモスの道です。春は「ポピー」約２５０万本・秋は「コスモス」約６８０万本がお楽しみ頂けます。見頃の時期になるとその風景は圧巻です。,0480-58-1111（鷲宮総合支所）,0480-58-8630（鷲宮総合支所）,"・ＪＲ宇都宮線「東鷲宮駅」下車　徒歩約１０分
・東武伊勢崎線「鷲宮駅」下車　徒歩約１５分",東北自動車道「久喜」ＩＣより約１５分,,常時開放,常時開放,無料,,,盲導犬受け入れ：可,"※花の見頃
コスモス（８００万本）/１０月中旬～１１月上旬",http://www.city.kuki.lg.jp/washimiya/kakuka/07keizai/cosmos_road/cosmos_road.htm,観・楽,花,コスモス,花 遊歩道
439,荒川コスモス街道,あらかわこすもすかいどう,中央地域,鴻巣市,荒川河川敷　（コスモスアリーナふきあげ周辺）,,36.08368488,139.4514263,埼玉県内でも有数のコスモスの名所で、約４.５ｋｍの荒川沿いの街道に、薄紅色、白、黄色のコスモスが合計１０００万本咲いています。花畑から見える富士山や秩父連山、日本一長い水管橋など、ここにしかない景色をお楽しみ頂けます。花の見頃は１０月中旬から下旬にかけてです。,048-541-1321（鴻巣市役所/花かおり課）,048-543-5480（鴻巣市役所/花かおり課）,"・ＪＲ高崎線「吹上駅」南口下車　徒歩約３０分
・バス（フラワー号）吹上コースで「コスモスアリーナふきあげ」下車","・首都圏中央連絡自動車道「桶川北本」ＩＣより約４０分
・大宮方面から国道１７号線「袋」交差点を吹上駅方面より「筑波」交差点を左折後直進約２ｋｍ
",,常時開放,-,-,,,盲導犬受け入れ：可,"※花の見頃
コスモス（１０００万本）/１０月中旬～下旬",http://www.konosu-kanko.jp/,観・楽,花,コスモス,花
440,みさと花公園,みさとはなこうえん,北部地域,美里町,猪俣1635,,36.1601149,139.1854211,猪俣地区の「みさと花公園」では、約３．５ヘクタールの広大な敷地一面に色とりどりのポピーが咲きみだれます。見頃は毎年４月下旬から５月下旬までで、この頃に毎年「美里ポピーまつり」が開催され、花や農産物の直売や各種イベントが催されます。,0495-76-5133（美里町役場/農林商工課）,0495-75-2125（美里町役場/農林商工課）,"・東武東上線/秩父鉄道/ＪＲ八高線「寄居駅」下車　
・武蔵観光路線バス(本庄駅ゆき)に乗車し、「猪俣入口」停留所下車　徒歩約５分",関越自動車道「花園」ＩＣもしくは「本庄児玉」ＩＣより約１５分,,常時開放,なし,"＜美里ポピーまつり＞
大人２００円（中学生以下は無料）",,,,"※花の見頃
ポピー（約35,000㎡）/４月下旬～５月下旬",http://www.misato-kanko.com/flower/poppy.html,観・楽,花,ポピー・バラ・チューリップ,花
441,ポピー・ハッピースクエア,ぽぴー・はっぴーすくえあ,中央地域,鴻巣市,馬室荒川河川敷,,36.04417174,139.5038795,１２．５ヘクタールの日本一広いポピー畑です。赤やオレンジのポピーが美しく咲き広がります。５月の花の見ごろの頃になると、ポピー祭りが開催されます。ステージショーや地元農産物の販売などが行われ、多くの観光客で賑わいます。,"048-541-1321（鴻巣市花かおり課）
048-542-1169（鴻巣市観光協会）","048-543-5480（鴻巣市花かおり課）
048-594-8291（鴻巣市観光協会）","ＪＲ高崎線鴻巣駅西口より
・徒歩３０分
・バス（フラワー号）馬室コース「給食センター前」下車","・首都圏中央連絡自動車道「桶川北本」ＩＣより約４０分
・国道１７号線「天神二」交差点を東松山方面へ「御成橋（東）」交差点の次を左折",,期間中常時開放,-,無料,,,盲導犬受け入れ：可,"※花の見頃
ポピー/５月中旬～６月上旬","http://www.city.kounosu.saitama.jp/9,1326,71,373.html",観・楽,花,ポピー・バラ・チューリップ,花
442,岡部のコスモス街道,オカベノコスモスカイドウ,北部地域,深谷市,岡部中学校北東側,,36.20026974,139.2389202,環境センター手前から深谷方面へ約３㎞におよぶコスモス街道。毎年１０月中旬に行われる「コスモス祭り」では各種イベントが行われ、中でも、若人の軽快な動きのダンスフェステバルは近隣の愛好者グループの競演もあり、祭りに花を添えています。,048-585-3750（岡部商工会）,048-585-3766（岡部商工会）,ＪＲ高崎線「岡部駅」下車南口　徒歩約１５分,関越自動車道「花園」ＩＣより約２５分,,"常時開放

＜コスモス祭り＞
例年１０月中旬",なし,無料,,,,"※花の見頃
コスモス/１０月中旬～１１月上旬",http://www.city.fukaya.saitama.jp/syoukousinkou/cosmos_maturi.html,観・楽,花,コスモス,花
449,熊谷桜堤,くまがやさくらづつみ,北部地域,熊谷市,河原町ほか,,36.13570854,139.3856907,江戸時代から桜の名所として知られる熊谷桜堤は、（財団法人）日本さくらの会から、由緒ある歴史と美しさを称えられ、平成２年３月３日に「さくら名所１００選」に選定されました。毎年４月上旬に開かれる「さくら祭」には、約５００本のソメイヨシノが２ｋｍにおよぶ桜のトンネルをつくり、多くの人々を魅了します。,048-524-1111（熊谷市役所）,048-525-9335（熊谷市観光協会）,ＪＲ高崎線「熊谷駅」南口下車　徒歩約５分,関越自動車道「東松山」ＩＣより約２０分,,常時開放,なし,無料,,,,"※花の見頃
桜（５００本）/３月下旬～４月上旬",http://www.city.kumagaya.lg.jp/kanko/midokoro/sakura/,観・楽,花,桜,花
453,さくら通り,サクラドオリ,東部地域,吉川市,保、吉川ほか（さくら通り）,,35.8769325,139.8468161,ＪＲ武蔵野線「吉川駅」北口から線路沿いを東へ約３００ｍ。ここから北上すること約３．５ｋｍにわたる桜並木で、約５００本の桜並木が春の訪れを告げます。散歩やジョギングに最適です。途中には関公園やポケットパークがあります。,048-982-9697（吉川市役所/商工課）,048-981-5682（吉川市役所/商工課）,ＪＲ武蔵野線「吉川駅」北口下車　徒歩約５分,常磐自動車道「三郷」ＩＣより約１５分 ,なし,常時開放,なし,無料,なし,なし,,"※花の見頃
桜（５００本）/３月下旬～４月上旬","http://www.city.yoshikawa.saitama.jp/12,382,43,199.html",観・楽,花,桜,花 遊歩道
454,岩槻城址公園,イワツキジョウシコウエン,中央地域,さいたま市,岩槻区太田3-4 ,,35.9515276,139.7114672,岩槻城址公園は、約６００本の桜が咲く県内有数の桜の名勝です。自然林に囲まれた起伏の多い公園で、岩槻城の土塁が今も現存しています。また、四季を通じて数々の賑やかな催し物が開催されます。春の季節には、岩槻城址公園桜まつり、岩槻流しびなが行なわれ、秋には人形供養祭が行なわれます。,048-757-9122（岩槻城址公園管理事務所）,,東武野田線「岩槻駅」下車　徒歩約２５分 ,東北自動車道「岩槻」ＩＣより約１０分,,常時開放,なし,無料,,,,"※花の見頃
桜（６００本）/３月下旬～４月上旬",http://www.scvb.or.jp/data/jyoushipark.shtml,遊・体,公園・緑地,公園,花 公園・緑地
456,元荒川桜堤,モトアラカワサクラヅツミ,東部地域,蓮田市,宮前橋、荒川橋周辺,,35.9841356,139.6602845,蓮田駅から歩いて１０分ほどの元荒川の川岸に咲き誇る満開の桜堤は、元荒川の景色を一変するほど見事なものです。３月下旬からライトアップされて、昼夜にかかわらず、土手を散歩する人の目をくぎ付けにしています。また、４月上旬にはさくらまつりが開催され、たくさんの人で賑わいます。,"048-769-1661（蓮田市商工祭さくらまつり実行委員会/蓮田市商工会内）
048-768-3111（蓮田市役所商工課商工係/内線235・236）",,・ＪＲ宇都宮線「蓮田駅」東口下車　徒歩約１０分,東北自動車道「岩槻」ＩＣより約１５分,,常時開放,なし,無料,,,,"※花の見頃
桜（約４７０本）/３月下旬～４月上旬",,観・楽,花,桜,花 公園・緑地
457,天覧山,てんらんざん,西部地域,飯能市,飯能,,35.86204811,139.3084216,天覧山は標高１９５ｍで、登山口から頂上まで約２０分とハイキングに最適です。春は桜、秋は紅葉が楽しめ、晴れた日には天候が良い日には、東京都の観光名所「池袋サンシャイン６０」、そのやや北側に東京都新名所「東京スカイツリー」を見渡すことができます。また、天覧山のふもとの中央公園では、毎年春に「飯能さくらまつり」が開催され、お花見や夜桜見物などで多くの観光客で賑わいます。,042-974-7900（飯能市観光案内所）,,西武池袋線「飯能駅」下車　国際興業バス利用、名栗方面行き「天覧山」より徒歩約２０分,首都圏中央連絡自動車道「狭山日高」ＩＣより国道２９９号経由約２０分,,常時開放,なし,なし,,,,"※花の見頃

桜（４００本）/３月下旬～４月上旬",http://www.city.hanno.saitama.jp/syoukoukankou/kankou/map/tenranzan.htm,観・楽,自然・景観,名木・巨木・山,山岳 花 郷土景観 社寺
458,元荒川桜堤,モトアラカワサクラヅツミ,東部地域,越谷市,大房,,35.91157655,139.7933865,北越谷第五公園から神明橋を通過して大沢橋鉄橋に至るまで約２ｋｍに渡って続く桜並木です。約３５０本のソメイヨシノが植樹されています。お花見の時期になると神明橋の下流側の河川敷が最も賑わいます。また、桜の時期になると提灯も取り付けられ、荘厳な世界が広がります。,048-966-6111（越谷市商工会）,,東武伊勢崎線「北越谷駅」下車　徒歩約１０分,-,,常時開放,なし,無料,,,,"※花の見頃
桜（約３５０本）/３月下旬～４月上旬",http://www2.city.koshigaya.saitama.jp/miru/shiki/haru/motoarakawa_sakura/index.html,観・楽,花,桜,花
460,柳瀬川河畔の桜,ヤナセガワカハンノサクラ,西部地域,志木市,本日町,,35.83451505,139.5826292,毎年３月下旬から４月上旬になると柳瀬川河畔沿いに約１７０本あまりの桜が咲き乱れます。見頃の時期には、露店や花見客などで賑わいます。また、新河岸川河畔、柳瀬川河畔、敷島神社境内で桜まつりが開催され、夕方からはぼんぼりが灯され、夜桜も楽しめます。,048-473-1111（志木市役所）,,東武東上線「柳瀬川駅」　徒歩約２分,関越自動車道「所沢」ＩＣより約３０分,,常時開放,なし,無料,,,,"※花の見頃
桜（１７０本）/３月下旬～４月上旬",,観・楽,花,桜,花
462,城山公園,しろやまこうえん,北部地域,本庄市,児玉町八幡山446,,36.1928406,139.1270318,ソメイヨシノが約３００本植えられている城山公園は、雉岡城跡とも言われ、城跡には大規模な空堀や土塁が残り、往時の面影を現在に伝えており、埼玉県の史跡に指定されています。園内には「群書類従」の編纂刊行者として、わが国の学問史上に巨跡を残した、塙保己一の遺品を展示する「塙保己一記念館」があります。 ,0495-72-1331（本庄市観光協会児玉支部）,,ＪＲ八高線「児玉駅」下車　徒歩約８分,関越自動車道「本庄・児玉」ＩＣより約１５分,,常時,なし,無料,,,,"※花の見頃
桜（約３００本）/３月下旬～４月上旬",http://www.city.honjo.lg.jp/kurasi_info/kankou/bunkazai/itirann/sitei.html,観・楽,花,桜,自然公園 花 公園・緑地
463,与野公園,よのこうえん,中央地域,さいたま市,中央区本町西1,,35.88180061,139.6180558,明治１０年に開設された約５１，０００㎡の緑の公園です。埼玉自然１００選にも選ばれている与野公園は、桜とバラの名所として有名です。染井吉野の桜や１７０種類、約３０００株のバラが咲き乱れます。また、与野七福神の一つの天祖神社（寿老人）もあり、お正月には多くの観光客で賑わいます。,048-852-2518（さいたま市公園緑地協会下落合プール内南部管理事務所）,,ＪＲ「与野本町駅」下車　徒歩約１５分 ,東北自動車道「岩槻」ＩＣより約２５分,,常時開放,なし,無料,,,,"※花の見頃
桜（３００本）/３月下旬～４月上旬
バラ（１００種３０００株）/５月中旬～６月中旬",http://www.scvb.or.jp/data/yonopark.shtml,遊・体,公園・緑地,公園,花 公園・緑地
468,葛西用水の桜,カサイヨウスイノサクラ,東部地域,草加市,稲荷・青柳,,35.831704,139.8181981,"昭和５３年に草加八潮工業会、草加市観光協会などにより、当初１００本植樹された桜は、地元町会などにより大切に管理・補植され、今では４５０本あまりとなっています。毎年４月には「さくらまつり」も開催され、多くの人でにぎわいます。
",0489-22-0151（草加市役所）,048-922-3406 （草加市役所）,東武伊勢崎線「松原団地駅」東口下車　バス「八潮団地」行き南青柳下車,東京外環自動車道「草加」ＩＣより約１５分,,常時開放,なし,無料,,,,"※桜の名所
桜（４５０本）/３月下旬～４月上旬",http://www.city.soka.saitama.jp/hp/page000004400/hpg000004374.htm,観・楽,花,桜,花 スカイスポーツ
472,高尾さくら公園,タカオサクラコウエン,中央地域,北本市,高尾6丁目,,36.02511058,139.506551,広々とした芝生にソメイヨシノ、カンヒザクラ、シダレザクラ等、全国から集められたおよそ３０種・２００本の桜が植えられ、３月下旬から４月上旬にかけて次々に満開の時期を迎えます。また、４月上旬に行われる「さくらまつり」には、多くの人で賑わいます。また晴れた日には遠くに富士山や秩父連山が望むことができます。,048-592-4050（北本総合公園管理事務所）,,ＪＲ高崎線「北本駅」西口下車　徒歩約３５分,県道東松山桶川線「北本市野外活動センター入り口」を北進４００ｍ,,常時開放,なし,無料,,,,"※花の見頃
桜（３０種２００本）/３月下旬～４月上旬",http://www.city.kitamoto.saitama.jp/shisetsu/kouen/sakura_kouen.htm,観・楽,花,桜,自然公園 花 公園・緑地
473,城ケ谷堤,ジョウガヤツツミ,中央地域,北本市,石戸宿7丁目,,36.01034954,139.5056498,桜土手や桜堤の名前で親しまれている江戸時代に築かれた堤です。両側に約６０本のソメイヨシノが植えられており、満開時には桜のトンネルになりお花見の人で賑わいます。毎年４月上旬に満開になります。,048-594-5566（生涯学習課）,,ＪＲ高崎線「北本駅」西口下車　始発「北里研究所メディカルセンター病院行き」バスにて終点下車　徒歩約１５分,県道東松山桶川線「北本市野外活動センター入り口」を南進１ｋｍ,,常時,なし,無料,,,,"※花の見頃
桜（約６０本）/３月下旬～４月上旬",http://www.city.kitamoto.saitama.jp/welcome/sakura.htm,観・楽,花,桜,花 公園・緑地
474,青毛堀桜堤,アオゲホリサクラツツミ,東部地域,久喜市,青毛,,36.06776406,139.6932006,青毛堀に沿って約１ｋｍに渡り約２５０本の桜並木が続きます。菜の花も植樹されており、ピンクと黄色のコントラストが見事です。見頃は３月下旬から４月上旬で、その頃には花見客で大変賑わいます。また、青毛堀堤に沿ってサイクリングを楽しんでいる方も多く見られます。,0480-22-1111（久喜市役所）,,ＪＲ宇都宮線「久喜駅」下車　バスにて「県営住宅入口」よりすぐ,東北自動車道「久喜」ＩＣより約１５分,,常時開放,なし,無料,,,,"※花の見頃
桜（約２５０本）/３月下旬～４月上旬",,観・楽,花,桜,花
475,清久さくら通り,キヨクサクラドオリ,東部地域,久喜市,清久町,,36.07017494,139.6328187,久喜市の桜の名所の一つです。久喜市の西、主要道川越・栗橋線から備前前堀川に沿って清久工業団地に至るまでの通りが清久さくら通りです。昭和５５年に完成した清久工業団地の造成にともない植えられたもので、約７００ｍのさくら並木は圧巻です。恒例のさくら祭りは４月上旬に開催されます。,0480-22-1111（久喜市役所）,,ＪＲ宇都宮線「久喜駅」下車　バスにて「清久農協前」よりすぐ,東北自動車道「久喜」ＩＣより約１０分,,常時,なし,無料,,,,"※花の見頃
桜/３月下旬～４月上旬",http://kuki.jpn.org/main/kankoukyoukai/cn3/2010sakura.html,観・楽,花,桜,花
476,こだま千本桜,コダマセンボンザクラ,北部地域,本庄市,児玉町地内（小山川河畔）,,36.18227694,139.1369963,児玉町を流れる小山川河畔両側に約１，１００本の桜が５ｋｍに渡り美しく咲き誇る、本庄市内でも有名なお花見スポットです。季節になるとお花見客で非常に賑わいます。また、４月上旬には「こだま千本桜まつり」が開催され、郷土芸能や模擬店の出店など様々なイベントが開催されます。,"0495-72-1331（本庄市観光協会児玉支部）
",0495-72-4216（本庄市観光協会児玉支部）,ＪＲ八高線「児玉駅」下車　徒歩約２０分,関越自動車道「本庄・児玉」ＩＣより約１５分,,常時開放,なし,無料,,,,"※花の見頃
桜（１１００本）/３月下旬～４月上旬",http://www.honjo-kanko.jp/maturi_kodama_sakura.htm,観・楽,花,桜,花
477,唐沢堤,カラサワツツミ,北部地域,深谷市,西島町,,36.19118727,139.2800438,唐沢堤の両岸に植えられたソメイヨシノは３月下旬より彩り始め、４月上旬から中旬に見頃を迎えます。約３ｋｍにも及ぶ桜並木では、３００本の桜が季節に見事に花咲きます。毎年、「深谷桜まつり」が開催され、期間中は唐沢堤や下台池公園のライトアップも楽しめます。,048-575-0015（深谷市観光協会）,048-575-0016（深谷市観光協会）,ＪＲ高崎線「深谷駅」下車　徒歩約１分,関越自動車道「本庄児玉」ＩＣより約３０分,有料駐車場内にあり,常時開放,なし,無料,深谷駅北側バス停付近にあり,有料駐車場内にあり,,"※花の見頃
桜（約３００本）/３月下旬～４月中旬",http://www.fukaya-ta.com/matsuri/sakuramatsuri/,観・楽,花,桜,花
478,東川桜並木,アズマガワサクラナミキ,西部地域,所沢市,西新井町,,35.79359787,139.4727874,東京オリンピックを記念し、西新井町から牛沼に至る全長約２ｋｍの両岸に約１８０本が植樹された。現在では松郷まで約３ｋｍ、約４００本の桜並木となっており、見頃の時期にはライトアップされた夜桜も楽しめます。見頃は３月下旬から中旬です。,04-2998-9155（所沢市役所商工労政課）,,西武池袋線・新宿線「所沢駅」下車　徒歩約１５分,関越自動車道「所沢」ＩＣより約１５分,,常時開放,なし,無料,,,,"※花の見頃
桜（約４００本）/３月下旬～４月上旬",http://www.tokoro-kankou.jp/blog/046.html,観・楽,花,桜,花
479,都幾川桜堤,トキガワサクラヅツミ,西部地域,嵐山町,大蔵,,36.026494,139.330146,都幾川右岸の学校橋から二瀬橋の間、約２ｋｍにわたり植樹された２５２本のソメイヨシノの道です。見頃の時期になると、「嵐山さくらまつり」が開催され、多くの観光客で賑わいます。一部夜間のライトアップもあります。桜の見頃は３月下旬から４月上旬です。学校橋付近では、菜の花畑が満開で、桜とのコントラストが見事です。,0493-62-2150（嵐山町役場）,,東武東上線「武蔵嵐山駅」下車　徒歩約２０分,関越自動車道「東松山」ＩＣより約１５分,,常時開放,なし,無料,,,,"※花の見頃
桜（２５０本）/３月下旬～４月上旬",http://,観・楽,花,桜,花
480,見沼元圦公園,ミヌマモトイリコウエン,東部地域,行田市,須加3792,,36.1843001,139.47225,見沼代用水の入口にある公園です。アスレチック遊具やはにわ像などが設置されています。また、展望台も併設されており、ここから見沼代用水を眺めることが出来ます。また、歩行者・自転車道として整備されている緑のヘルシーロードの起点でもあります。,048-556-1111（行田市役所）,,秩父鉄道「武州荒木駅」下車　徒歩約１５分,,,,,,,,,,,遊・体,公園・緑地,公園,花 公園・緑地
481,三ツ和公園,ミツワコウエン,中央地域,川口市,南鳩ヶ谷1-8-1,,35.818692,139.741722,１００本余りの桜の木が植樹されており、３月下旬から４月上旬は花見で賑わいをみせます。また、公園入口付近には、御衣黄（ギョイコウ）という珍しい緑の桜（１本）があります。ギョイコウの開花は４月中旬から下旬頃です。,048-258-1110(2431)（川口市商工課）　,,"・ＪＲ赤羽駅からバス「変電所」下車、徒歩約１分
・埼玉高速鉄道「南鳩ヶ谷駅」下車　徒歩約１０分","・赤羽方面から国道１２２号中居交差点を左折
・大宮方面から国道１２２号中居交差点を右折",,常時開放,なし,無料,,,,"※花の見頃
・桜（１００本）/３月下旬～４月上旬
・桜（御衣黄）/４月中旬～下旬",,観・楽,花,桜,花 公園・緑地
